500 955
0 1 20000
0 20 30000
1 2 20000
1 21 20000
2 3 30000
2 22 20000
3 4 20000
3 23 10000
4 5 10000
4 24 10000
5 6 40000
5 25 40000
6 7 20000
6 26 10000
7 8 20000
7 27 40000
8 9 40000
8 28 10000
9 10 40000
9 29 30000
10 11 40000
10 30 20000
11 12 10000
11 31 30000
12 13 10000
12 32 10000
13 14 20000
13 33 30000
14 15 20000
14 34 30000
15 16 20000
15 35 20000
16 17 30000
16 36 40000
17 18 20000
17 37 10000
18 19 10000
18 38 40000
19 39 10000
20 21 20000
20 40 20000
21 22 10000
21 41 40000
22 23 20000
22 42 10000
23 24 10000
23 43 30000
24 25 20000
24 44 10000
25 26 30000
25 45 30000
26 27 30000
26 46 10000
27 28 30000
27 47 10000
28 29 20000
28 48 10000
29 30 30000
29 49 10000
30 31 40000
30 50 30000
31 32 30000
31 51 10000
32 33 20000
32 52 10000
33 34 30000
33 53 30000
34 35 20000
34 54 20000
35 36 40000
35 55 40000
36 37 20000
36 56 20000
37 38 10000
37 57 40000
38 39 40000
38 58 40000
39 59 20000
40 41 10000
40 60 30000
41 42 40000
41 61 30000
42 43 30000
42 62 40000
43 44 20000
43 63 20000
44 45 40000
44 64 30000
45 46 30000
45 65 30000
46 47 40000
46 66 20000
47 48 20000
47 67 30000
48 49 30000
48 68 10000
49 50 20000
49 69 10000
50 51 30000
50 70 10000
51 52 10000
51 71 30000
52 53 30000
52 72 30000
53 54 10000
53 73 40000
54 55 10000
54 74 40000
55 56 20000
55 75 20000
56 57 20000
56 76 10000
57 58 30000
57 77 20000
58 59 20000
58 78 40000
59 79 10000
60 61 40000
60 80 30000
61 62 40000
61 81 20000
62 63 40000
62 82 40000
63 64 10000
63 83 30000
64 65 30000
64 84 30000
65 66 20000
65 85 20000
66 67 10000
66 86 40000
67 68 40000
67 87 10000
68 69 20000
68 88 20000
69 70 20000
69 89 20000
70 71 30000
70 90 40000
71 72 30000
71 91 30000
72 73 40000
72 92 40000
73 74 40000
73 93 30000
74 75 40000
74 94 30000
75 76 20000
75 95 10000
76 77 40000
76 96 30000
77 78 40000
77 97 30000
78 79 40000
78 98 30000
79 99 30000
80 81 30000
80 100 30000
81 82 40000
81 101 30000
82 83 10000
82 102 10000
83 84 30000
83 103 20000
84 85 30000
84 104 30000
85 86 30000
85 105 20000
86 87 40000
86 106 40000
87 88 20000
87 107 40000
88 89 30000
88 108 40000
89 90 40000
89 109 40000
90 91 20000
90 110 10000
91 92 40000
91 111 20000
92 93 10000
92 112 40000
93 94 40000
93 113 30000
94 95 10000
94 114 30000
95 96 20000
95 115 40000
96 97 30000
96 116 30000
97 98 10000
97 117 10000
98 99 30000
98 118 30000
99 119 40000
100 101 10000
100 120 40000
101 102 20000
101 121 30000
102 103 40000
102 122 10000
103 104 10000
103 123 20000
104 105 30000
104 124 10000
105 106 30000
105 125 30000
106 107 20000
106 126 40000
107 108 30000
107 127 20000
108 109 10000
108 128 40000
109 110 40000
109 129 10000
110 111 30000
110 130 20000
111 112 30000
111 131 40000
112 113 30000
112 132 20000
